GeneID	commonID	mouse_or_human	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dataset	CTL_mean	hnRNPL_dep_mean	geneid_noVer
ENSMUSG00000041801.5	50633	mouse	Phlda3	694.232340597464	4.42706122685259	0.209755519700086	21.1058151565333	7.033152978317e-99	4.48973042292496e-95	actb_d1	62.4425998342144	1326.02208136072	ENSMUSG00000041801
ENSMUSG00000021701.8	45170	mouse	Plk2	312.718878139948	4.02910381960753	0.238569493427404	16.8885961139603	5.45864638607204e-64	9.50350335815142e-61	actb_d1	35.8416690449498	589.596087234946	ENSMUSG00000021701
ENSMUSG00000023067.14	41748	mouse	Cdkn1a	2620.38057504705	3.33895361419582	0.159791730696857	20.8956596166431	5.86409689703226e-97	2.80758299187662e-93	actb_d1	471.2640561742	4769.49709391989	ENSMUSG00000023067
ENSMUSG00000006445.3	44693	mouse	Epha2	348.926918995204	2.81487407687889	0.245572348202817	11.4625042171039	2.03543069094322e-30	8.66234070272302e-28	actb_d1	86.731570454246	611.122267536162	ENSMUSG00000006445
ENSMUSG00000037855.15	43936	mouse	Zfp365	444.803506799054	2.7247124374234	0.21301223093548	12.791342663552	1.83279814041417e-37	1.2897268721496e-34	actb_d1	117.134547596644	772.472466001462	ENSMUSG00000037855
ENSMUSG00000026817.14	39169	mouse	Ak1	9.14869647639085	2.40262181775936	0.822081799036269	2.92260675345929	0.0034711460704584	0.0282036140837288	actb_d1	2.81421598741625	15.4831769653654	ENSMUSG00000026817
ENSMUSG00000027663.12	50283	mouse	Zmat3	3669.04404688008	2.08657924872876	0.155433716040601	13.4242383305288	4.36044473538574e-41	3.79576714215328e-38	actb_d1	1398.7978630161	5939.29023074405	ENSMUSG00000027663
ENSMUSG00000022479.15	39696	mouse	Vdr	16.9703241583977	1.94642602072285	0.65770945624762	2.9594009972544	0.00308237724969032	0.025688660879679	actb_d1	7.19366168281314	26.7469866339822	ENSMUSG00000022479
ENSMUSG00000038776.13	44910	mouse	Ephx1	986.143933707303	1.74771208199754	0.147552029294529	11.8447173539642	2.29189752844906e-32	1.0973032391832e-29	actb_d1	452.365164358925	1519.92270305568	ENSMUSG00000038776
ENSMUSG00000020326.7	39986	mouse	Ccng1	22320.1192535264	1.63596268447311	0.212041306005902	7.71530186871976	1.20696222229018e-14	1.54096890127195e-12	actb_d1	10867.5976002382	33772.6409068146	ENSMUSG00000020326
