term_name	actb_d1	fetalLiv	thymocytes	kcytes	HEK293T	k562	hepg2	bjFibro	lncap
histone modification	27.9837465232176	24.2024150954821	11.1506364917305	14.6223133329749	12.2525626228767	11.4528915507686	3.34304346170193	3.58339869323432	1.62559953759516
regulation of chromosome organization	12.4589103745255	5.57420771181735	4.36796251418515	9.64494376794707	10.8158002245821	13.3808095716005	4.49922872982859	1.62945978066262	3.33742530309428
regulation of DNA repair	6.6350293481064	13.3243913294493	3.77772664916983	4.37024754636349	5.90620462481199	6.67304222906333	3.25194816671338	2.68776740509839	1.51785309005779
peptidyl-lysine modification	19.0483895084591	12.9809216085625	3.45043653261795	12.3325195993581	14.4335960720582	5.48100926255338	6.97676809263497	3.74409854812482	NA
methylation	15.3448310215007	13.5370033273726	1.86243402784839	7.26023801565257	5.12734627096131	4.95907950252013	3.42873872948121	2.75350186119279	NA
cilium organization	3.11198667999538	4.63644115496348	2.30889484488647	7.21981434105417	8.31119879896853	6.03685707990486	4.61402582870568	3.75380679578773	2.43654397779339
cilium assembly	2.71459570481439	3.90710061556962	2.24808981873314	9.38582560800724	7.89988591157116	7.0812433794135	6.10779076144145	4.24934062257023	2.30101843133054
chromosome segregation	8.60430096967633	7.18953321055767	6.61110992001104	9.28582566397162	15.0228042473913	16.1715446938215	4.70809824590116	NA	NA
double-strand break repair	18.0967282454443	15.4589350282415	5.30250902594686	10.5068268246944	8.93330036460032	16.1089502800575	4.36321360330274	2.92093976522069	NA
mitotic cell cycle phase transition	7.24701921259352	8.60699874729097	3.97703807236653	5.87267027558875	16.2903920264283	13.0779364247537	2.76472650821141	2.1814192645353	NA
positive regulation of DNA metabolic process	9.82019340504632	11.0725709675936	6.24112278781214	6.63841526881993	8.93613690090971	10.3246656646457	4.09632687685998	NA	NA
regulation of mitotic cell cycle	10.2609498915098	9.61729108723376	2.78772162089945	5.72640457727546	12.3746771179308	10.168712710232	3.28035921064128	NA	NA
regulation of cell cycle phase transition	10.1340938332128	10.3413369174375	3.72995953817863	7.41779276767783	12.1679071205939	12.4218951027464	1.37852908103451	2.22827940929919	NA
regulation of mitotic cell cycle phase transition	6.77658864794108	6.60754330399602	2.17260631068883	4.29720097373636	12.2091265543078	9.24980203153357	1.5340567420326	1.59040666715174	NA
macromolecule methylation	14.9718856890521	13.1152480418595	NA	5.98537864261779	5.68105162068422	5.06358760970551	4.83614885882233	2.84353609158903	NA
proteasome-mediated ubiquitin-dependent protein catabolic process	15.3425791310465	6.78447405314356	4.46089651340139	12.6156026027402	7.13528562231011	9.44111368909362	NA	4.07150984543949	NA
microtubule organizing center organization	5.53442067551114	8.98661867434265	3.11645961830731	4.81182564065941	9.89885519329932	8.95017484961049	4.63443721158047	NA	NA
centrosome cycle	5.48616712274288	8.40610015381769	2.46062040693799	3.38647402893219	8.6021227418664	8.5860232910568	4.5662389077476	NA	NA
regulation of double-strand break repair	3.49532659755364	8.10415079411604	NA	3.55484486463732	4.46201559195595	4.28838060966213	2.18673972968556	NA	NA
DNA recombination	17.5226491472035	10.3172846918059	6.62639396589282	4.95935837323406	4.47294954738619	14.9499518908362	3.38459170234063	NA	NA
